Instruction, , , , , , , , , , Result, Operator, (, Operand, ), Actual Value(s),,,,,,,,,,,
, BaseRate, , , , , , , , , 437.2471931902714241884540541090304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ?, , table:BaseRate.Fire, ," ""(1"," Cov A) = 374.37""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , ContentOnlyFactor, ,1.03474665,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Territory Relativities.Fire, ," ""(1", Cov A," 46063) = 0.943""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Wind Hail Exclusion.Fire, , (false) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofShape.Fire, ," ""(1", GableSteepPitch," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Distance To Coast.Fire, ," ""(46063", <<999.990,"999.990>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , AcreageFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Farm_Type.Fire, ," ""(1", Crops," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Credit.Fire, ," ""(1", <<731,731>>," Cov A) = 0.987""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Protection Class.Fire, ," ""(1",10," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Miles To Fire Department.Fire, ," ""(1", Over10Miles," Cov A) = 1.5""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofExclusion.Fire, ," ""(1", Cov A," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Farming Claims Factor.Fire, ," ""(1", <<1000,1000>>, Cov A,0,0,0,0,0,0,0," 0) = 1"""
, , CONTINUE, , , , , , , , , ×, , RateFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Construction Materials for All.Fire, ," ""(1", Cov A," Frame-MV) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Dwelling_Age.Fire, ," ""(1", false, <<9,"9>>) = 0.976""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Dwelling Year Built Factor.Fire, ," ""(1", false,1, <<2010,"2010>>) = 1""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:AoR.Fire, ," ""(1", Cov A,1, Metal, <<8,8>>, false," false) = 0.976""",,,,
, , CONTINUE, , , , , , , , , ×, , table:MultipolicyDiscount.Fire, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:Fortified.Fire, ," ""(1"," None) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , FinalFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , PolicySizeFactor, ,0.8495848,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , CoverageInfo.CovModLimit, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Brushfire.Fire, ," ""(1", <<0,"0>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:SolidFuel.Fire, ," ""(1", Cov A, false, false, false," false) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:FoundationType.Fire, ," ""(1"," FullBasement) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:All Perils Deductible.Fire, ," ""(1", Cov A,1000, <<220718,"220718>>) = 0.999""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:WHDeductible.Fire, ," ""(1", false, Cov A,1000, <<220718,220718>>," 1) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:Occupancy.Fire, , (Primary) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:ACVRoof.Fire, ," ""(1", false, Cov A, <<8,"8>>) = 1""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, BaseRate, , , , , , , , ,437.2472, ?, , CostData.BaseRate, ,437.2472,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , table:Fixed Expense.Fire, ," ""(1"," Cov A) = 0""",,,,,,,,,,
, AdjustedRate, , , , , , , , ,437.2472, ?, , CostData.BaseRate, ,437.2472,,,,,,,,,,,
, TermAmount, , , , , , , , ,437.25, ?, , CostData.BaseRate, ,437.2472,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,437.25,,,,,,,,,,,
Earthquake Coverage, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, dwelling_erthquake (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, CovAFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CovBFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CovCFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CovDFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CovALimit, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CovALimit, , , , , , , , ,220700, ?, , RatingInfo.EnteredCovALimit, ,220700,,,,,,,,,,,
, CovAFactor, , , , , , , , ,86.5144, ?, , table:EQ_Zip, ," ""(46063", FRMDwellingCovA, Frame-MV," true) = 0.35""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, (, CovALimit, ,220700,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ÷, ,1000, ),1000,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EQ_Ded, ," ""(5"," Frame-MV) = 1.12""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, CovBFactor, , , , , , , , ,0.00122976, ?, , table:EQ_IncrLim, ," ""(46063", FRMPrivateStructCovB," Frame-MV) = 0.61""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, (, RatingInfo.EnteredCovBLimit, ,22071.8,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, (, CovALimit, ,220700,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, ,0.1, )),0.1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ÷, ,1000, ,1000,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EQ_Ded, ," ""(5"," Frame-MV) = 1.12""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, Limit, , , , , , , , ,12.6, ?, (, RatingInfo.EnteredCovCLimit, ,154502.6,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, (, CovALimit, ,220700,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, ,0.7, )),0.7,,,,,,,,,,,
, Limit, , , , , , , , ,0.0126, ?, ," ""max(0"," Limit)""", ," ""max(0"," 12.6) = 12.6""",,,,,,,,,
, , CONTINUE, , , , , , , , , ÷, ,1000, ,1000,,,,,,,,,,,
, CovCFactor, , , , , , , , ,0.01227744, ?, , table:EQ_IncrLim, ," ""(46063", FRMPersonalPropertyCovC," Frame-MV) = 0.87""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EQ_Ded, ," ""(5"," Frame-MV) = 1.12""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , Limit, ,0.0126,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, CovDFactor, , , , , , , , ,15.08191328, ?, , table:EQ_IncrLim, ," ""(46063", z7jjmkjviv2dicv9t4i6gtr5vf8," Frame-MV) = 0.61""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, (, RatingInfo.EnteredCovDLimit, ,66215.4,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, (, CovALimit, ,220700,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, ,0.2, )),0.2,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ÷, ,1000, ,1000,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EQ_Ded, ," ""(5"," Frame-MV) = 1.12""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, BaseRate, , , , , , , , ,101.6098205, ?, , CovAFactor, ,86.5144,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CovBFactor, ,0.00122976,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CovCFactor, ,0.01227744,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CovDFactor, ,15.08191328,,,,,,,,,,,
, AdjustedRate, , , , , , , , ,101.6098, ?, , CostData.BaseRate, ,101.6098,,,,,,,,,,,
, TermAmount, , , , , , , , ,101.61, ?, , CostData.BaseRate, ,101.6098,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,101.61,,,,,,,,,,,
Scheduled Personal Property ( Jewelry_Agreed ) , , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, SchPerProp (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, IFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, JFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, KFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, NFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, OFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, QFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CRFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartCameraFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartLightFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartSmokeAlarmFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, WaterLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GasLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GeneratorFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, ADFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, AutTempDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MaxCreditPerPeril, , , , , , , , ,0.054, ?, , table:ProtectiveDevices.Optional Coverage, ," ""(1", Max," Optional) = 0.054""",,,,,,,,,
, AllDiscount, , , , , , , , ,0, ?, , IFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , JFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , KFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , MFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , NFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , OFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , QFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , ADFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CRFactor, ,0,,,,,,,,,,,
, FinalFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, ," ""min(AllDiscount"," MaxCreditPerPeril)""", ," ""min(0"," 0.054) = 0""",,,,,,,,,
, BaseRate, , , , , , , , ,237.84, ?, , table:SPP_Rate, ," ""(Jewelry (Agreed Value)"," true) = 4.8""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, (, RatingInfo.PersonalPropertyCovLimit, ,50000,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ÷, ,1000, ),1000,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , FinalFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Credit.Optional Coverage, ," ""(1", <<731,731>>," Optional) = 0.991""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:MultipolicyDiscount.Optional Coverage, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, AdjustedRate, , , , , , , , ,237.84, ?, , CostData.BaseRate, ,237.84,,,,,,,,,,,
, TermAmount, , , , , , , , ,237.84, ?, , CostData.BaseRate, ,237.84,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,237.84,,,,,,,,,,,
Vacancy and Unoccupancy Permit, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, VacancyUnoccupancyPermit (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, BaseRate, , , , , , , , ,118.822, ?, , table:Vacancy, , (3m) = 0.1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , RatingInfo.ResultingDwellingPremium, ,1188.22,,,,,,,,,,,
, AdjustedRate, , , , , , , , ,118.822, ?, , CostData.BaseRate, ,118.822,,,,,,,,,,,
, TermAmount, , , , , , , , ,118.82, ?, , CostData.BaseRate, ,118.822,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,118.82,,,,,,,,,,,
Coverage A - Dwelling - Wind, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, Coverage_Wind (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, ContentOnlyFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, RateFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, , table:Acreage.Wind, ," ""(1", <<57,57>>," Cov A) = 1""",,,,,,,,
, RateFactor, , , , , , , , ,1, ?, , table:Number Of Families.Wind, ," ""(1"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:TownRowHouse.Wind, ," ""(1"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Pool.Wind, ," ""(1", false," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Trampoline.Wind, ," ""(1"," false) = 1""",,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0.9352924, ?, , table:PolicySizeRelativity.Wind, ," ""(1",220718," Cov A) = 0.9352924""",,,,,,,,,
, ContentOnlyFactor, , , , , , , , ,1.00984, ?, , table:Sq Feet Stories.Wind, ," ""(<<1500",1500>>, Cov A," 2) = 0.971""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Repl Cost Sq Ft.Wind, ," ""(<<147","147>>) = 1.04""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Bathrooms.Wind, ," ""(1"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Garage Factor.Wind, , (Attached-1) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Perils.Wind, ," ""(1", Special," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Wind, ," ""(1", Heating, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Wind, ," ""(1", Plumbing, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Wind, ," ""(1", Roofing, <<8,8>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Wind, ," ""(1", Electrical, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Wind Mitigation.Wind, ," ""(GableSteepPitch", null, <<2010,2010>>," Madison) = 1""",,,,,,,
, IFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, JFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, KFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, NFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, OFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, QFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartCameraFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartLightFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartSmokeAlarmFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, WaterLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GasLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GeneratorFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, AutTempDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, ADFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CRFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MaxCreditPerPeril, , , , , , , , ,0.2, ?, , table:ProtectiveDevices.Wind, ," ""(1", Max," Cov A) = 0.2""",,,,,,,,,
, AllDiscount, , , , , , , , ,0, ?, , IFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , JFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , KFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , MFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , NFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , OFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , QFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , ADFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CRFactor, ,0,,,,,,,,,,,
, FinalFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, ," ""min(AllDiscount"," MaxCreditPerPeril)""", ," ""min(0"," 0.2) = 0""",,,,,,,,,
, BaseRate, , , , , , , , , 322.29488362045237858715115340800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ?, , table:BaseRate.Wind, ," ""(1"," Cov A) = 681.68""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , ContentOnlyFactor, ,1.00984,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Territory Relativities.Wind, ," ""(1", Cov A," 46063) = 0.857""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Wind Hail Exclusion.Wind, , (false) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Distance To Coast.Wind, ," ""(46063", <<999.990,"999.990>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , AcreageFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Farm_Type.Wind, ," ""(1", Crops," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Credit.Wind, ," ""(1", <<731,731>>," Cov A) = 0.993""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Protection Class.Wind, ," ""(1",10," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Miles To Fire Department.Wind, ," ""(1", Over10Miles," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Construction Materials for All.Wind, ," ""(1", Cov A," Frame-MV) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Farming Claims Factor.Wind, ," ""(1", <<1000,1000>>, Cov A,0,0,0,0,0,0,0," 0) = 1"""
, , CONTINUE, , , , , , , , , ×, , table:Dwelling_Age.Wind, ," ""(1", false, <<9,"9>>) = 0.885""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Dwelling Year Built Factor.Wind, ," ""(1", false,1, <<2010,"2010>>) = 1""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:AoR.Wind, ," ""(1", Cov A,1, Metal, <<8,8>>, false," false) = 0.668""",,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofShape.Wind, ," ""(1", GableSteepPitch," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofExclusion.Wind, ," ""(1", Cov A," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:MultipolicyDiscount.Wind, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:Fortified.Wind, ," ""(1"," None) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , FinalFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , PolicySizeFactor, ,0.9352924,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , CoverageInfo.CovModLimit, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Brushfire.Wind, ," ""(1", <<0,"0>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:SolidFuel.Wind, ," ""(1", Cov A, false, false, false," false) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:FoundationType.Wind, ," ""(1"," FullBasement) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:ACVRoof.Wind, ," ""(1", false, Cov A, <<8,"8>>) = 1""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:All Perils Deductible.Wind, ," ""(1", Cov A,1000, <<220718,"220718>>) = 1""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:WHDeductible.Wind, ," ""(1", false, Cov A,1000, <<220718,220718>>," 1) = 0.995""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:Occupancy.Wind, , (Primary) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , RateFactor, ,1,,,,,,,,,,,
, BaseRate, , , , , , , , ,322.2949, ?, , CostData.BaseRate, ,322.2949,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , table:Fixed Expense.Wind, ," ""(1"," Cov A) = 0""",,,,,,,,,,
, AdjustedRate, , , , , , , , ,322.2949, ?, , CostData.BaseRate, ,322.2949,,,,,,,,,,,
, TermAmount, , , , , , , , ,322.29, ?, , CostData.BaseRate, ,322.2949,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,322.29,,,,,,,,,,,
Blanket Personal Property, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, BlanketPersonalProperty (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, Result1, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, Result2, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, Result3, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, Result4, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, Result5, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, Result6, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, IFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, JFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, KFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, NFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, OFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, QFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CRFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartCameraFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartLightFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartSmokeAlarmFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, WaterLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GasLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GeneratorFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, ADFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, AutTempDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MaxCreditPerPeril, , , , , , , , ,0.054, ?, , table:ProtectiveDevices.Optional Coverage, ," ""(1", Max," Optional) = 0.054""",,,,,,,,,
, AllDiscount, , , , , , , , ,0, ?, , IFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , JFactor, ,0,,,,,,,,,,,
